n,sol_iteration,total_iterations,order_of_genes,fitness_val,execution_time,sol_chrom_json
9,205520,362880,"(5, 0, 7, 3, 6, 2, 1, 8, 4)",24756.0,12.337,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [26, 25, 14, 6, 29, 36, 4, 24, 35], ""C"": [[-1.0, 11.5, 18.0, 14.5, 7.5, 15.0, 13.5, 11.0, 5.5], [11.5, -1.0, 14.0, 15.0, 14.5, 9.5, 18.0, 13.5, 11.5], [18.0, 14.0, -1.0, 13.0, 16.0, 18.0, 8.0, 11.0, 7.5], [14.5, 15.0, 13.0, -1.0, 10.0, 16.0, 11.0, 12.5, 9.5], [7.5, 14.5, 16.0, 10.0, -1.0, 16.0, 11.5, 10.0, 10.5], [15.0, 9.5, 18.0, 16.0, 16.0, -1.0, 13.5, 13.5, 11.5], [13.5, 18.0, 8.0, 11.0, 11.5, 13.5, -1.0, 15.0, 10.5], [11.0, 13.5, 11.0, 12.5, 10.0, 13.5, 15.0, -1.0, 8.0], [5.5, 11.5, 7.5, 9.5, 10.5, 11.5, 10.5, 8.0, -1.0]]}"
9,29039,362880,"(0, 6, 7, 2, 8, 5, 4, 1, 3)",30185.0,15.315,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [40, 39, 17, 22, 30, 10, 31, 24, 8], ""C"": [[-1.0, 14.0, 7.5, 11.0, 15.0, 11.0, 10.5, 12.5, 11.5], [14.0, -1.0, 7.5, 19.0, 15.0, 19.0, 9.5, 7.0, 11.5], [7.5, 7.5, -1.0, 11.5, 7.5, 12.0, 14.0, 18.0, 15.5], [11.0, 19.0, 11.5, -1.0, 10.5, 10.5, 13.5, 14.5, 18.0], [15.0, 15.0, 7.5, 10.5, -1.0, 17.5, 13.0, 13.0, 7.5], [11.0, 19.0, 12.0, 10.5, 17.5, -1.0, 11.0, 15.0, 15.5], [10.5, 9.5, 14.0, 13.5, 13.0, 11.0, -1.0, 8.0, 14.5], [12.5, 7.0, 18.0, 14.5, 13.0, 15.0, 8.0, -1.0, 11.5], [11.5, 11.5, 15.5, 18.0, 7.5, 15.5, 14.5, 11.5, -1.0]]}"
9,245530,362880,"(6, 0, 7, 1, 2, 4, 5, 8, 3)",34481.75,12.091,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [32, 6, 15, 29, 22, 27, 34, 24, 46], ""C"": [[-1.0, 8.0, 14.0, 7.5, 14.5, 15.5, 13.0, 11.5, 18.0], [8.0, -1.0, 17.0, 11.5, 18.5, 12.0, 18.5, 10.0, 17.5], [14.0, 17.0, -1.0, 9.0, 13.0, 7.5, 12.5, 13.5, 12.0], [7.5, 11.5, 9.0, -1.0, 12.0, 14.0, 8.5, 7.0, 14.0], [14.5, 18.5, 13.0, 12.0, -1.0, 18.0, 14.5, 10.0, 12.5], [15.5, 12.0, 7.5, 14.0, 18.0, -1.0, 10.5, 12.5, 10.5], [13.0, 18.5, 12.5, 8.5, 14.5, 10.5, -1.0, 7.5, 15.5], [11.5, 10.0, 13.5, 7.0, 10.0, 12.5, 7.5, -1.0, 16.0], [18.0, 17.5, 12.0, 14.0, 12.5, 10.5, 15.5, 16.0, -1.0]]}"
9,10596,362880,"(0, 3, 1, 7, 4, 5, 8, 6, 2)",23621.75,11.999,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [38, 25, 33, 31, 4, 5, 34, 10, 20], ""C"": [[-1.0, 7.5, 11.5, 5.0, 7.5, 11.5, 14.0, 18.0, 14.0], [7.5, -1.0, 17.0, 9.0, 13.0, 13.0, 12.5, 9.0, 6.5], [11.5, 17.0, -1.0, 13.0, 10.5, 18.0, 8.0, 7.0, 9.0], [5.0, 9.0, 13.0, -1.0, 10.5, 17.5, 13.5, 11.0, 10.0], [7.5, 13.0, 10.5, 10.5, -1.0, 12.5, 17.5, 16.0, 12.5], [11.5, 13.0, 18.0, 17.5, 12.5, -1.0, 12.0, 12.5, 13.5], [14.0, 12.5, 8.0, 13.5, 17.5, 12.0, -1.0, 6.0, 10.0], [18.0, 9.0, 7.0, 11.0, 16.0, 12.5, 6.0, -1.0, 12.0], [14.0, 6.5, 9.0, 10.0, 12.5, 13.5, 10.0, 12.0, -1.0]]}"
9,270410,362880,"(6, 5, 4, 3, 2, 0, 1, 8, 7)",33195.75,11.980,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [11, 30, 6, 19, 24, 38, 42, 41, 49], ""C"": [[-1.0, 14.5, 16.0, 12.5, 11.5, 14.0, 17.5, 9.5, 15.5], [14.5, -1.0, 13.5, 7.5, 13.0, 19.0, 8.5, 9.0, 9.0], [16.0, 13.5, -1.0, 15.5, 9.0, 12.5, 7.0, 8.0, 9.0], [12.5, 7.5, 15.5, -1.0, 13.0, 12.5, 14.0, 15.0, 13.0], [11.5, 13.0, 9.0, 13.0, -1.0, 16.0, 14.0, 12.0, 11.5], [14.0, 19.0, 12.5, 12.5, 16.0, -1.0, 5.5, 13.5, 10.0], [17.5, 8.5, 7.0, 14.0, 14.0, 5.5, -1.0, 12.5, 11.0], [9.5, 9.0, 8.0, 15.0, 12.0, 13.5, 12.5, -1.0, 11.5], [15.5, 9.0, 9.0, 13.0, 11.5, 10.0, 11.0, 11.5, -1.0]]}"
9,18359,362880,"(0, 4, 6, 3, 8, 7, 5, 1, 2)",28566.5,11.536,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [37, 47, 23, 7, 30, 27, 19, 15, 4], ""C"": [[-1.0, 12.0, 13.0, 17.0, 16.5, 14.0, 8.0, 15.5, 6.5], [12.0, -1.0, 9.5, 14.0, 14.0, 16.0, 15.0, 11.5, 16.0], [13.0, 9.5, -1.0, 7.5, 12.5, 12.5, 13.0, 11.5, 17.5], [17.0, 14.0, 7.5, -1.0, 13.0, 19.0, 10.0, 10.5, 13.0], [16.5, 14.0, 12.5, 13.0, -1.0, 14.5, 14.5, 15.0, 17.0], [14.0, 16.0, 12.5, 19.0, 14.5, -1.0, 11.0, 14.5, 14.0], [8.0, 15.0, 13.0, 10.0, 14.5, 11.0, -1.0, 11.5, 14.5], [15.5, 11.5, 11.5, 10.5, 15.0, 14.5, 11.5, -1.0, 16.5], [6.5, 16.0, 17.5, 13.0, 17.0, 14.0, 14.5, 16.5, -1.0]]}"
9,10386,362880,"(0, 3, 1, 5, 6, 7, 8, 4, 2)",35916.75,11.426,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [44, 32, 37, 40, 47, 10, 9, 18, 34], ""C"": [[-1.0, 16.0, 8.0, 7.5, 16.0, 14.5, 9.0, 12.5, 17.5], [16.0, -1.0, 12.5, 9.5, 15.0, 13.5, 12.5, 10.0, 11.5], [8.0, 12.5, -1.0, 10.5, 10.0, 12.5, 6.0, 14.0, 10.0], [7.5, 9.5, 10.5, -1.0, 10.5, 11.0, 16.0, 13.0, 10.0], [16.0, 15.0, 10.0, 10.5, -1.0, 16.5, 11.0, 9.0, 11.0], [14.5, 13.5, 12.5, 11.0, 16.5, -1.0, 11.0, 14.0, 9.0], [9.0, 12.5, 6.0, 16.0, 11.0, 11.0, -1.0, 13.5, 19.0], [12.5, 10.0, 14.0, 13.0, 9.0, 14.0, 13.5, -1.0, 11.5], [17.5, 11.5, 10.0, 10.0, 11.0, 9.0, 19.0, 11.5, -1.0]]}"
9,21595,362880,"(0, 5, 2, 8, 7, 6, 1, 3, 4)",22778.0,11.274,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [36, 45, 18, 31, 9, 28, 21, 5, 6], ""C"": [[-1.0, 18.0, 8.0, 15.5, 10.5, 15.0, 9.5, 11.0, 8.0], [18.0, -1.0, 10.5, 10.5, 11.0, 14.0, 13.0, 13.5, 11.5], [8.0, 10.5, -1.0, 13.0, 15.5, 12.5, 9.0, 11.0, 6.0], [15.5, 10.5, 13.0, -1.0, 12.5, 13.5, 16.5, 14.0, 11.0], [10.5, 11.0, 15.5, 12.5, -1.0, 11.5, 12.0, 11.0, 7.0], [15.0, 14.0, 12.5, 13.5, 11.5, -1.0, 9.0, 12.0, 12.5], [9.5, 13.0, 9.0, 16.5, 12.0, 9.0, -1.0, 17.0, 12.5], [11.0, 13.5, 11.0, 14.0, 11.0, 12.0, 17.0, -1.0, 10.5], [8.0, 11.5, 6.0, 11.0, 7.0, 12.5, 12.5, 10.5, -1.0]]}"
9,1949,362880,"(0, 1, 4, 7, 3, 2, 8, 5, 6)",43593.0,11.174,"{""n"": 9, ""F"": [8, 7, 6, 5, 4, 3, 2, 1, 0], ""L"": [41, 38, 25, 6, 30, 45, 28, 27, 36], ""C"": [[-1.0, 13.5, 12.5, 13.0, 13.0, 12.0, 10.5, 17.5, 14.5], [13.5, -1.0, 9.0, 12.0, 13.5, 14.0, 16.5, 11.0, 13.5], [12.5, 9.0, -1.0, 12.0, 14.0, 12.5, 11.0, 14.5, 11.5], [13.0, 12.0, 12.0, -1.0, 12.0, 10.0, 18.0, 11.0, 16.5], [13.0, 13.5, 14.0, 12.0, -1.0, 15.0, 15.0, 14.0, 12.0], [12.0, 14.0, 12.5, 10.0, 15.0, -1.0, 13.0, 16.5, 18.0], [10.5, 16.5, 11.0, 18.0, 15.0, 13.0, -1.0, 18.5, 14.0], [17.5, 11.0, 14.5, 11.0, 14.0, 16.5, 18.5, -1.0, 12.5], [14.5, 13.5, 11.5, 16.5, 12.0, 18.0, 14.0, 12.5, -1.0]]}"
5,20,120,"(0, 4, 1, 3, 2)",7886.25,0.0016,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [47, 22, 34, 37, 23], ""C"": [[-1.0, 11.5, 17.0, 12.0, 11.5], [11.5, -1.0, 11.0, 18.0, 18.0], [17.0, 11.0, -1.0, 11.5, 9.5], [12.0, 18.0, 11.5, -1.0, 13.5], [11.5, 18.0, 9.5, 13.5, -1.0]]}"
5,40,120,"(1, 3, 2, 4, 0)",4967.5,0.0012,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [28, 30, 6, 21, 42], ""C"": [[-1.0, 18.5, 16.0, 14.0, 11.0], [18.5, -1.0, 13.0, 11.0, 7.0], [16.0, 13.0, -1.0, 11.5, 12.5], [14.0, 11.0, 11.5, -1.0, 7.5], [11.0, 7.0, 12.5, 7.5, -1.0]]}"
5,13,120,"(0, 3, 1, 2, 4)",5541.0,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [48, 44, 19, 31, 10], ""C"": [[-1.0, 14.0, 8.5, 15.0, 9.5], [14.0, -1.0, 12.0, 12.5, 8.5], [8.5, 12.0, -1.0, 18.5, 9.5], [15.0, 12.5, 18.5, -1.0, 6.5], [9.5, 8.5, 9.5, 6.5, -1.0]]}"
5,54,120,"(2, 0, 4, 3, 1)",4548.0,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [26, 11, 49, 41, 9], ""C"": [[-1.0, 12.0, 10.0, 10.5, 10.5], [12.0, -1.0, 9.5, 11.5, 13.0], [10.0, 9.5, -1.0, 7.5, 11.0], [10.5, 11.5, 7.5, -1.0, 18.0], [10.5, 13.0, 11.0, 18.0, -1.0]]}"
5,3,120,"(0, 1, 3, 2, 4)",4578.5,0.0013,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [32, 16, 15, 41, 24], ""C"": [[-1.0, 11.5, 12.5, 12.5, 9.0], [11.5, -1.0, 7.5, 9.0, 10.5], [12.5, 7.5, -1.0, 8.5, 14.0], [12.5, 9.0, 8.5, -1.0, 7.5], [9.0, 10.5, 14.0, 7.5, -1.0]]}"
5,68,120,"(2, 4, 0, 3, 1)",4216.0,0.0013,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [6, 17, 38, 46, 20], ""C"": [[-1.0, 12.0, 12.5, 8.5, 10.5], [12.0, -1.0, 12.0, 12.0, 15.0], [12.5, 12.0, -1.0, 12.5, 9.0], [8.5, 12.0, 12.5, -1.0, 5.5], [10.5, 15.0, 9.0, 5.5, -1.0]]}"
5,62,120,"(2, 3, 0, 4, 1)",4826.5,0.0025,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [6, 23, 34, 28, 30], ""C"": [[-1.0, 11.0, 11.0, 10.0, 12.0], [11.0, -1.0, 8.0, 7.0, 13.0], [11.0, 8.0, -1.0, 14.5, 12.0], [10.0, 7.0, 14.5, -1.0, 15.5], [12.0, 13.0, 12.0, 15.5, -1.0]]}"
5,38,120,"(1, 3, 0, 4, 2)",5904.75,0.0017,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [11, 28, 21, 26, 41], ""C"": [[-1.0, 10.5, 17.5, 8.5, 13.0], [10.5, -1.0, 11.5, 9.0, 18.0], [17.5, 11.5, -1.0, 13.0, 15.5], [8.5, 9.0, 13.0, -1.0, 14.0], [13.0, 18.0, 15.5, 14.0, -1.0]]}"
5,62,120,"(2, 3, 0, 4, 1)",5998.25,0.0018,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [22, 18, 40, 38, 41], ""C"": [[-1.0, 14.5, 17.0, 7.0, 7.0], [14.5, -1.0, 16.0, 8.0, 11.5], [17.0, 16.0, -1.0, 6.5, 16.5], [7.0, 8.0, 6.5, -1.0, 6.5], [7.0, 11.5, 16.5, 6.5, -1.0]]}"
5,20,120,"(0, 4, 1, 3, 2)",6120.75,0.0021,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [36, 22, 28, 49, 27], ""C"": [[-1.0, 9.5, 8.0, 18.0, 13.0], [9.5, -1.0, 11.0, 7.0, 8.0], [8.0, 11.0, -1.0, 9.5, 5.0], [18.0, 7.0, 9.5, -1.0, 10.5], [13.0, 8.0, 5.0, 10.5, -1.0]]}"
6,268,720,"(2, 1, 0, 4, 5, 3)",9790.75,0.0118,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [24, 32, 33, 29, 8, 40], ""C"": [[-1.0, 12.0, 9.5, 12.5, 9.0, 14.0], [12.0, -1.0, 15.0, 7.0, 9.5, 6.5], [9.5, 15.0, -1.0, 19.5, 13.0, 16.0], [12.5, 7.0, 19.5, -1.0, 5.0, 12.5], [9.0, 9.5, 13.0, 5.0, -1.0, 14.5], [14.0, 6.5, 16.0, 12.5, 14.5, -1.0]]}"
6,554,720,"(4, 3, 0, 1, 5, 2)",9205.25,0.0099,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [14, 10, 15, 26, 27, 46], ""C"": [[-1.0, 18.0, 12.5, 10.5, 18.0, 12.0], [18.0, -1.0, 17.0, 10.0, 7.5, 16.0], [12.5, 17.0, -1.0, 12.5, 13.0, 18.0], [10.5, 10.0, 12.5, -1.0, 12.5, 17.5], [18.0, 7.5, 13.0, 12.5, -1.0, 17.5], [12.0, 16.0, 18.0, 17.5, 17.5, -1.0]]}"
6,42,720,"(0, 2, 4, 5, 3, 1)",12775.75,0.0103,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [41, 31, 30, 40, 24, 21], ""C"": [[-1.0, 11.5, 18.0, 8.5, 16.5, 12.5], [11.5, -1.0, 15.0, 10.0, 11.5, 11.5], [18.0, 15.0, -1.0, 12.5, 16.0, 12.5], [8.5, 10.0, 12.5, -1.0, 16.5, 12.0], [16.5, 11.5, 16.0, 16.5, -1.0, 17.5], [12.5, 11.5, 12.5, 12.0, 17.5, -1.0]]}"
6,57,720,"(0, 3, 2, 4, 1, 5)",7801.25,0.0096,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [39, 12, 8, 16, 48, 22], ""C"": [[-1.0, 9.0, 9.0, 14.0, 12.5, 17.0], [9.0, -1.0, 11.5, 6.5, 12.5, 10.0], [9.0, 11.5, -1.0, 14.5, 11.5, 8.0], [14.0, 6.5, 14.5, -1.0, 14.0, 17.5], [12.5, 12.5, 11.5, 14.0, -1.0, 9.5], [17.0, 10.0, 8.0, 17.5, 9.5, -1.0]]}"
6,370,720,"(3, 0, 2, 4, 5, 1)",11631.0,0.0110,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [27, 30, 19, 46, 26, 35], ""C"": [[-1.0, 18.5, 13.0, 18.5, 15.5, 6.5], [18.5, -1.0, 14.0, 14.0, 7.5, 7.5], [13.0, 14.0, -1.0, 13.0, 17.5, 12.5], [18.5, 14.0, 13.0, -1.0, 11.0, 15.5], [15.5, 7.5, 17.5, 11.0, -1.0, 8.0], [6.5, 7.5, 12.5, 15.5, 8.0, -1.0]]}"
6,147,720,"(1, 2, 0, 4, 3, 5)",8346.5,0.0097,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [13, 45, 22, 11, 41, 15], ""C"": [[-1.0, 18.5, 11.0, 9.5, 14.0, 11.5], [18.5, -1.0, 12.5, 11.0, 16.0, 13.5], [11.0, 12.5, -1.0, 6.0, 13.5, 11.0], [9.5, 11.0, 6.0, -1.0, 13.5, 12.0], [14.0, 16.0, 13.5, 13.5, -1.0, 11.5], [11.5, 13.5, 11.0, 12.0, 11.5, -1.0]]}"
6,53,720,"(0, 3, 1, 5, 2, 4)",13125.5,0.0106,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [46, 22, 45, 25, 20, 35], ""C"": [[-1.0, 9.0, 15.0, 9.5, 17.0, 17.5], [9.0, -1.0, 15.0, 6.5, 15.0, 12.5], [15.0, 15.0, -1.0, 10.0, 14.5, 10.5], [9.5, 6.5, 10.0, -1.0, 13.5, 15.5], [17.0, 15.0, 14.5, 13.5, -1.0, 11.0], [17.5, 12.5, 10.5, 15.5, 11.0, -1.0]]}"
6,144,720,"(1, 0, 5, 4, 3, 2)",6992.25,0.0096,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [12, 39, 23, 31, 7, 8], ""C"": [[-1.0, 15.5, 10.5, 12.0, 14.5, 13.0], [15.5, -1.0, 18.0, 11.5, 14.0, 12.5], [10.5, 18.0, -1.0, 17.0, 17.0, 10.5], [12.0, 11.5, 17.0, -1.0, 9.0, 13.5], [14.5, 14.0, 17.0, 9.0, -1.0, 9.5], [13.0, 12.5, 10.5, 13.5, 9.5, -1.0]]}"
6,240,720,"(1, 5, 4, 3, 2, 0)",10425.0,0.0096,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [28, 34, 32, 19, 21, 31], ""C"": [[-1.0, 16.0, 11.0, 10.5, 7.5, 7.0], [16.0, -1.0, 6.5, 14.0, 13.0, 16.0], [11.0, 6.5, -1.0, 10.0, 19.0, 10.0], [10.5, 14.0, 10.0, -1.0, 16.5, 15.0], [7.5, 13.0, 19.0, 16.5, -1.0, 17.5], [7.0, 16.0, 10.0, 15.0, 17.5, -1.0]]}"
6,201,720,"(1, 4, 2, 3, 0, 5)",12858.0,0.0090,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [24, 39, 23, 44, 30, 31], ""C"": [[-1.0, 12.0, 6.5, 18.0, 13.0, 14.5], [12.0, -1.0, 13.5, 11.5, 18.0, 7.0], [6.5, 13.5, -1.0, 19.0, 10.0, 13.5], [18.0, 11.5, 19.0, -1.0, 12.0, 9.5], [13.0, 18.0, 10.0, 12.0, -1.0, 16.0], [14.5, 7.0, 13.5, 9.5, 16.0, -1.0]]}"
7,1469,5040,"(2, 0, 3, 1, 6, 4, 5)",12736.0,0.0893,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [37, 10, 42, 13, 45, 6, 24], ""C"": [[-1.0, 15.5, 14.0, 13.5, 8.0, 9.0, 13.0], [15.5, -1.0, 18.5, 7.0, 7.0, 16.5, 18.0], [14.0, 18.5, -1.0, 8.0, 8.0, 11.5, 12.0], [13.5, 7.0, 8.0, -1.0, 12.0, 17.0, 10.0], [8.0, 7.0, 8.0, 12.0, -1.0, 17.0, 9.5], [9.0, 16.5, 11.5, 17.0, 17.0, -1.0, 12.0], [13.0, 18.0, 12.0, 10.0, 9.5, 12.0, -1.0]]}"
7,2798,5040,"(3, 6, 1, 4, 0, 5, 2)",11921.25,0.0899,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [10, 11, 16, 45, 9, 40, 36], ""C"": [[-1.0, 16.0, 18.0, 5.5, 9.0, 7.5, 8.0], [16.0, -1.0, 10.5, 11.0, 13.5, 12.5, 11.0], [18.0, 10.5, -1.0, 13.5, 9.5, 14.5, 19.5], [5.5, 11.0, 13.5, -1.0, 9.5, 9.5, 19.0], [9.0, 13.5, 9.5, 9.5, -1.0, 11.5, 14.0], [7.5, 12.5, 14.5, 9.5, 11.5, -1.0, 15.5], [8.0, 11.0, 19.5, 19.0, 14.0, 15.5, -1.0]]}"
7,2564,5040,"(3, 4, 1, 6, 0, 5, 2)",11911.25,0.0881,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [8, 10, 25, 37, 33, 40, 6], ""C"": [[-1.0, 13.0, 10.0, 9.5, 15.5, 12.5, 8.0], [13.0, -1.0, 6.5, 14.5, 9.5, 5.5, 16.5], [10.0, 6.5, -1.0, 18.5, 10.5, 11.0, 14.0], [9.5, 14.5, 18.5, -1.0, 19.0, 13.5, 11.5], [15.5, 9.5, 10.5, 19.0, -1.0, 13.0, 18.0], [12.5, 5.5, 11.0, 13.5, 13.0, -1.0, 13.0], [8.0, 16.5, 14.0, 11.5, 18.0, 13.0, -1.0]]}"
7,258,5040,"(0, 3, 1, 5, 6, 4, 2)",13070.0,0.0868,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [38, 18, 19, 35, 42, 10, 13], ""C"": [[-1.0, 13.0, 12.5, 12.0, 9.0, 14.0, 5.5], [13.0, -1.0, 16.5, 10.5, 16.0, 16.0, 8.5], [12.5, 16.5, -1.0, 13.0, 15.5, 11.5, 15.0], [12.0, 10.5, 13.0, -1.0, 9.0, 8.5, 14.5], [9.0, 16.0, 15.5, 9.0, -1.0, 10.0, 10.0], [14.0, 16.0, 11.5, 8.5, 10.0, -1.0, 14.0], [5.5, 8.5, 15.0, 14.5, 10.0, 14.0, -1.0]]}"
7,518,5040,"(0, 5, 2, 4, 1, 6, 3)",12303.5,0.0877,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [38, 14, 12, 25, 9, 23, 30], ""C"": [[-1.0, 12.5, 11.0, 11.5, 17.0, 7.0, 15.5], [12.5, -1.0, 9.5, 17.5, 10.0, 16.5, 15.0], [11.0, 9.5, -1.0, 15.5, 5.5, 12.5, 12.0], [11.5, 17.5, 15.5, -1.0, 11.0, 15.0, 11.5], [17.0, 10.0, 5.5, 11.0, -1.0, 14.0, 6.0], [7.0, 16.5, 12.5, 15.0, 14.0, -1.0, 9.5], [15.5, 15.0, 12.0, 11.5, 6.0, 9.5, -1.0]]}"
7,919,5040,"(1, 2, 5, 3, 0, 4, 6)",13671.75,0.0874,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [9, 33, 30, 48, 27, 11, 10], ""C"": [[-1.0, 6.5, 16.0, 6.5, 16.0, 14.0, 14.5], [6.5, -1.0, 11.5, 14.5, 17.5, 7.5, 10.0], [16.0, 11.5, -1.0, 10.5, 18.0, 11.5, 17.0], [6.5, 14.5, 10.5, -1.0, 15.0, 12.0, 15.5], [16.0, 17.5, 18.0, 15.0, -1.0, 10.5, 13.5], [14.0, 7.5, 11.5, 12.0, 10.5, -1.0, 12.5], [14.5, 10.0, 17.0, 15.5, 13.5, 12.5, -1.0]]}"
7,438,5040,"(0, 4, 5, 1, 6, 3, 2)",15339.25,0.0869,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [47, 4, 43, 46, 26, 6, 21], ""C"": [[-1.0, 10.5, 15.5, 15.5, 14.5, 9.5, 15.5], [10.5, -1.0, 7.0, 18.0, 15.5, 12.5, 10.5], [15.5, 7.0, -1.0, 11.5, 9.0, 13.0, 20.0], [15.5, 18.0, 11.5, -1.0, 17.0, 7.0, 10.0], [14.5, 15.5, 9.0, 17.0, -1.0, 14.5, 7.5], [9.5, 12.5, 13.0, 7.0, 14.5, -1.0, 16.0], [15.5, 10.5, 20.0, 10.0, 7.5, 16.0, -1.0]]}"
7,40,5040,"(0, 1, 3, 5, 4, 6, 2)",17081.25,0.0883,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [43, 36, 30, 26, 18, 7, 39], ""C"": [[-1.0, 9.0, 13.0, 9.5, 13.0, 9.0, 8.5], [9.0, -1.0, 18.0, 14.5, 12.0, 14.5, 17.0], [13.0, 18.0, -1.0, 11.0, 19.0, 9.5, 16.5], [9.5, 14.5, 11.0, -1.0, 16.5, 15.0, 10.5], [13.0, 12.0, 19.0, 16.5, -1.0, 12.5, 18.5], [9.0, 14.5, 9.5, 15.0, 12.5, -1.0, 11.5], [8.5, 17.0, 16.5, 10.5, 18.5, 11.5, -1.0]]}"
7,2070,5040,"(2, 6, 1, 0, 5, 4, 3)",16553.75,0.0903,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [10, 14, 48, 41, 42, 16, 26], ""C"": [[-1.0, 10.0, 16.5, 16.5, 15.5, 13.0, 10.5], [10.0, -1.0, 11.0, 16.0, 13.5, 14.0, 9.5], [16.5, 11.0, -1.0, 11.5, 15.5, 10.5, 10.5], [16.5, 16.0, 11.5, -1.0, 9.5, 19.5, 16.5], [15.5, 13.5, 15.5, 9.5, -1.0, 9.0, 16.0], [13.0, 14.0, 10.5, 19.5, 9.0, -1.0, 10.0], [10.5, 9.5, 10.5, 16.5, 16.0, 10.0, -1.0]]}"
7,1219,5040,"(1, 5, 0, 6, 2, 3, 4)",13208.5,0.1053,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [16, 47, 41, 27, 12, 19, 15], ""C"": [[-1.0, 9.0, 17.0, 15.0, 10.0, 13.5, 10.0], [9.0, -1.0, 8.5, 11.0, 13.5, 14.0, 6.0], [17.0, 8.5, -1.0, 6.5, 15.5, 11.5, 9.0], [15.0, 11.0, 6.5, -1.0, 15.0, 15.5, 15.0], [10.0, 13.5, 15.5, 15.0, -1.0, 16.0, 13.5], [13.5, 14.0, 11.5, 15.5, 16.0, -1.0, 18.0], [10.0, 6.0, 9.0, 15.0, 13.5, 18.0, -1.0]]}"
8,249,40320,"(0, 1, 4, 2, 5, 6, 3, 7)",15790.75,0.9318,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [42, 25, 8, 16, 18, 6, 39, 23], ""C"": [[-1.0, 9.5, 8.5, 13.5, 8.5, 12.0, 7.5, 8.5], [9.5, -1.0, 12.0, 11.0, 14.0, 12.0, 15.0, 7.0], [8.5, 12.0, -1.0, 12.0, 8.0, 8.0, 18.0, 10.5], [13.5, 11.0, 12.0, -1.0, 11.0, 15.0, 5.5, 16.0], [8.5, 14.0, 8.0, 11.0, -1.0, 13.0, 14.5, 17.5], [12.0, 12.0, 8.0, 15.0, 13.0, -1.0, 14.5, 10.5], [7.5, 15.0, 18.0, 5.5, 14.5, 14.5, -1.0, 9.0], [8.5, 7.0, 10.5, 16.0, 17.5, 10.5, 9.0, -1.0]]}"
